inner_left_norm,inner_right_norm,tilt_left_norm,tilt_right_norm,left_ear_norm,right_ear_norm,label
-0.17602267870288343,-0.10630577553563883,-0.10368276973968843,-0.14150457769464167,0.14822946534587486,0.13847073706862456,attentive_no_understanding
-0.15782843922643391,-0.12901647116339965,-0.08986319960267525,-0.11867030625377538,0.11618234365725615,0.11839266561664752,attentive_no_understanding
-0.11233310088656638,-0.23267051733713393,-0.1625431895771809,-0.09328489659011517,0.14060927997673128,0.15136591834684923,attentive_no_understanding
-0.2082521083450706,-0.13477825250465061,-0.08688440996004017,-0.12979980062613428,0.1305150517456248,0.12006821229412429,attentive_no_understanding
-0.14873098245781954,-0.04123070355819321,-0.06791540724263262,-0.13286835068925593,0.07757737699094518,0.06856691389470618,attentive_no_understanding
-0.23780259382633967,-0.24471308264441013,-0.1402273467347552,-0.1426703582975594,0.0913370518873255,0.09165258169007436,attentive_no_understanding
-0.09894477033775674,-0.1847499364057931,-0.14617247220471313,-0.09961915364066831,0.12476743312087439,0.13243870624354936,attentive_no_understanding
-0.1483404504505231,-0.15834418047778967,-0.11424903479395401,-0.10064574542434022,0.12094519390286734,0.11565134046524005,attentive_no_understanding
-0.11886921109807268,-0.1375440031990901,-0.09145354379375416,-0.0793164185114608,0.08012354353023346,0.0778946684783928,attentive_no_understanding
-0.1092646562368569,-0.08948832803111237,-0.08471075248364805,-0.10744804753500486,0.08206867372328444,0.0820102587887494,attentive_no_understanding
-0.10981495488125714,-0.1315707341273678,-0.09334113819551025,-0.07502952775365514,0.09793755914400648,0.09833261702203185,attentive_no_understanding
-0.10370766617616119,-0.08754019822974633,-0.09996377932180366,-0.10449225075737639,0.07352215479343686,0.07298174034000397,attentive_no_understanding
-0.1175014454620457,-0.15814342849905252,-0.14111952259192417,-0.12459300073311176,0.14178298521801683,0.1466597336095528,attentive_no_understanding
-0.11301902029985504,-0.08536562743790287,-0.11502974030094774,-0.13305782195118368,0.12349451672900995,0.1203223030887548,attentive_no_understanding
-0.19584860412914407,-0.15009717382558446,-0.12048787713461072,-0.1520020634061304,0.12131167416885154,0.11521173925257021,attentive_no_understanding
-0.16758890797433224,-0.16261905850238978,-0.13839038946118606,-0.1438070363300042,0.11952708767258095,0.12139214630693558,attentive_no_understanding
-0.09380458523956371,-0.184293275199755,-0.1453829319327289,-0.09823119994775033,0.1256721673637764,0.13482780080350704,attentive_no_understanding
-0.19307507781871858,-0.15045791797683003,-0.1229895886141976,-0.15210405402220312,0.12591191459519932,0.12024783425479176,attentive_no_understanding
-0.19329446166944309,-0.2705173248587189,-0.1527848190835569,-0.10653150901745397,0.10045749613999623,0.11020960701999483,attentive_no_understanding
-0.2434769942208012,-0.25504403313898066,-0.1326766072654062,-0.14071730902115304,0.13995562019406757,0.14498195670133496,attentive_no_understanding
-0.15385665295513276,-0.18184279188093594,-0.14325422889537154,-0.1289953266554596,0.12373522161629995,0.1297450182376135,attentive_no_understanding
-0.2284500247270784,-0.12225915957231746,-0.06535796548291402,-0.13074794578401538,0.15813662274330587,0.14146519201882668,attentive_no_understanding
